BURGLARY TO RESIDENCE,"April 20, 2016","3000 Nw 5Th Ave, Boca Raton, Florida"
BURGLARY TO RESIDENCE,"April 20, 2016","3000 Nw 5Th Ave, Boca Raton, Florida"
BURGLARY TO RESIDENCE,"April 20, 2016","3000 Nw 5Th Ave, Boca Raton, Florida"
BURGLARY TO RESIDENCE,"April 20, 2016","3000 Nw 5Th Ave, Boca Raton, Florida"
BURGLARY TO RESIDENCE,"June 10, 2016","714 Appleby St, Boca Raton, Florida"
BURGLARY TO RESIDENCE,"June 10, 2016","1098 Sw 16Th St, Boca Raton, Florida"
BURGLARY TO RESIDENCE,"June 10, 2016","3 Royal Palm Way, Boca Raton, Florida"
BURGLARY TO RESIDENCE,"June 12, 2016","21391 Town Lakes Dr, Boca Raton, Florida"
BURGLARY TO RESIDENCE,"June 12, 2016","21391 Town Lakes Dr, Boca Raton, Florida"
BURGLARY TO RESIDENCE,"June 12, 2016","3601 N Military Trl, Boca Raton, Florida"
BURGLARY TO RESIDENCE,"June 13, 2016","5034 Marina Cir, Boca Raton, Florida"
BURGLARY TO RESIDENCE,"June 14, 2016","51 Sw 10Th Ter, Boca Raton, Florida"
BURGLARY TO RESIDENCE,"June 15, 2016","7600 Ne Palm Way, Boca Raton, Florida"
BURGLARY TO RESIDENCE,"June 15, 2016","524 Nw 55Th St, Boca Raton, Florida"
BURGLARY TO RESIDENCE,"June 17, 2016","770 Ne 36Th St, Boca Raton, Florida"
BURGLARY TO RESIDENCE,"June 19, 2016","7200 Nw 4Th Ave, Boca Raton, Florida"
BURGLARY TO RESIDENCE,"June 21, 2016","360 W Palmetto Park Rd, Boca Raton, Florida"
BURGLARY TO RESIDENCE,"June 23, 2016","1500 Sw 20Th St, Boca Raton, Florida"
BURGLARY TO RESIDENCE,"June 23, 2016","620 Sw 16Th St, Boca Raton, Florida"
BURGLARY TO RESIDENCE,"June 25, 2016","740 W Palm Ave, Boca Raton, Florida"
BURGLARY TO RESIDENCE,"July 1, 2016","99 Se Mizner Blvd, Boca Raton, Florida"
BURGLARY TO RESIDENCE,"July 2, 2016","1337 Nw 7Th St, Boca Raton, Florida"
BURGLARY TO RESIDENCE,"July 6, 2016","100 Nw 69Th Cir, Boca Raton, Florida"
BURGLARY TO RESIDENCE,"July 8, 2016","2350 Nw 49Th Ln, Boca Raton, Florida"
BURGLARY TO RESIDENCE,"July 8, 2016","1051 Ne 4Th Ave, Boca Raton, Florida"
BURGLARY TO RESIDENCE,"July 10, 2016","1001 Sw 17Th St, Boca Raton, Florida"
